type,priority,id,date,title,abstract
Inventor Retrieved,11,10076367,18/9/2018,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, total intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a worm drive screw, a spur gear and superior and inferior screws which turn simultaneously in a bi-directional manner. A rotating mechanism drives the first and second screw members in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. A device employing two screws (two-in-one) can be combined with a capping horizontal mini-plate. A device employing three screws can be combined in enclosures (three-in-one). The stapling apparatus includes grip handles, transmission linkages, a drive rod a fulcrum and a cylinder. The staple has superior and inferior segments with serrated interfaces, a teethed unidirectional locking mechanism and four facet piercing elements. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,12,10028740,24/7/2018,Spinal fusion implant with curvilinear nail-screws,"A horizontal-transvertebral curvilinear nail-screw (HTCN) including a body portion having a first end and a second end, wherein the first end is opposed to the second end; and a head at the first end of the body portion, wherein the body portion has a predetermined curvilinear shape and includes a pointed tip at the second end of the body portion, and a method of surgically implanting universal horizontal-transvertebral curvilinear nail-screws (HTCN) into a plurality of adjacent vertebrae."
Inventor Retrieved,13,10258329,16/4/2019,Spinal fusion implant with curvilinear nail-screws,"A horizontal-transvertebral curvilinear nail-screw (HTCN) including a body portion having a first end and a second end, wherein the first end is opposed to the second end; and a head at the first end of the body portion, wherein the body portion has a predetermined curvilinear shape and includes a pointed tip at the second end of the body portion, and a method of surgically implanting universal horizontal-transvertebral curvilinear nail-screws (HTCN) into a plurality of adjacent vertebrae."
Inventor Retrieved,14,10016225,10/7/2018,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, total intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a worm drive screw, a spur gear and superior and inferior screws which turn simultaneously in a bi-directional manner. A rotating mechanism drives the first and second screw members in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. A device employing two screws (two-in-one) can be combined with a capping horizontal mini-plate. A device employing three screws can be combined in enclosures (three-in-one). The stapling apparatus includes grip handles, transmission linkages, a drive rod a fulcrum and a cylinder. The staple has superior and inferior segments with serrated interfaces, a teethed unidirectional locking mechanism and four facet piercing elements. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,15,9888918,13/2/2018,Horizontal-transvertebral curvilinear nail-screws with inter-locking rigid or jointed flexible rods for spinal fusion,"A horizontal-transvertebral curvilinear nail-screw (HTCN) including a body portion having a first end and a second end, wherein the first end is opposed to the second end; and a head at the first end of the body portion, wherein the body portion has a predetermined curvilinear shape and includes a pointed tip at the second end of the body portion, and a method of surgically implanting universal horizontal-transvertebral curvilinear nail-screws (HTCN) into a plurality of adjacent vertebrae."
Inventor Retrieved,16,8747444,10/6/2014,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, total intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a worm drive screw, a spur gear and superior and inferior screws which turn simultaneously in a bi-directional manner. A rotating mechanism drives the first and second screw members in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. A device employing two screws (two-in-one) can be combined with a capping horizontal mini-plate. A device employing three screws can be combined in enclosures (three-in-one). The stapling apparatus includes grip handles, transmission linkages, a drive rod a fulcrum and a cylinder. The staple has superior and inferior segments with serrated interfaces, a teethed unidirectional locking mechanism and four facet piercing elements. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,17,10952723,23/3/2021,Artificial intervertebral impant,"An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a shell and first and second first screw members having tapered ends and threaded bodies that are disposed within the shell. A drive mechanism rotatably drives the first and second screw members from the shell in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. The stapling apparatus includes first and second lever arms rotatably joined together at a fulcrum, and the lever arms rotate in opposite directions. First and second cartridges are disposed at the ends of the lever arms. Each cartridge is capable of holding a staple including a bracket, a nail member and an alignment slot. When the ends of the lever arms are rotated towards each other the staples from the cartridges are interlocked. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,18,10537367,21/1/2020,Bidirectional fixating intervertebral implant system,"A bidirectional fixating intervertebral implant system includes at least one implant body, a perimeter enclosure, and first and second anchors. The at least one implant body has first and second vertebral body-facing surfaces with first and second sets of ridges. The first and second vertebral body-facing surfaces define first and second anchor openings. The perimeter enclosure extends around a body perimeter of the implant body. The implant body and the perimeter enclosure are sized to fit within a disc space. The perimeter enclosure defines at least one tool hole. The first and second anchors are sized and configured to extend through the first and second anchor openings. The first and second anchors have first and second shaft portions and first and second vertebral body engagement portions extending laterally outward from the first and second shaft portions, respectively, in multiple directions."
Inventor Retrieved,19,7846188,7/12/2010,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, total intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a worm drive screw, a spur gear and superior and inferior screws which turn simultaneously in a bi-directional manner. A rotating mechanism drives the first and second screw members in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. A device employing two screws (two-in-one) can be combined with a capping horizontal mini-plate. A device employing three screws can be combined in enclosures (three-in-one). The stapling apparatus includes grip handles, transmission linkages, a drive rod a fulcrum and a cylinder. The staple has superior and inferior segments with serrated interfaces, a teethed unidirectional locking mechanism and four facet piercing elements. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,20,9675385,13/6/2017,Spinous process staple with interdigitating-interlocking hemi-spacers for adjacent spinous process separation and distraction,"A Spinous Process (SP) staple including a top claw, a bottom claw, a staple pin pivotally connecting the top claw and the bottom claw, a ratchet mechanism that limits an opening force of the top claw with respect to the bottom claw, a first hemi-spacer positioned on the top claw and a second hemi-spacer positioned on the bottom claw. Upon the stapling of two adjacent spinous processes, the SP staple claws approximate, and the first and second hemi-spacers interdigitate, interlock, and unite to become a single interspinous process spacer which can be wedged between two adjacent spinous processes. Adjacent spinous process separation and/or distraction leading to spinal canal decompression and alleviation of the symptoms of spinal stenosis are accomplished."
Inventor Retrieved,21,8257370,4/9/2012,"Posterior cervical and lumbar interarticulating joint staples, stapling guns, and devices for spinal fusion","A staple gun for a lumbar facet joint staple, including a puller disposed in and extending through the hollow cylinder body, wherein the puller has a puller tip coupled to the first end of the puller, wherein the first end of the puller and at least a part of the puller tip are disposed inside the first end of the hollow cylinder body when the handle is in the closed position, and wherein the first end of the puller and at least a part of the puller tip extend outside the first end of the hollow cylinder body when the handle is in the open position. A posterior lumbar facet joint staple for engaging the puller tip, and staple guns for a posterior cervical facet joint staple also are provided."
Inventor Retrieved,22,10722274,28/7/2020,Cervical spinous process staple,"Thoracic/lumbar and cervical spinous process staples which staple/fuse adjacent spinous processes are disclosed. Thoracic/lumbar transverse process staples which staple/fuse adjacent transverse processes are also disclosed. Each embodiment has upper and lower claws connected by a ratchet spring mechanism, along with a multiplicity of bone fastener prongs attached to the upper and lower claws. Two sets of prongs on each staple claw are spaced by a distance approximately equal to the distance separating adjacent spinous or transverse processes so as to facilitate stapling/fusion of two adjacent processes. Also disclosed are staple prongs with multiple perforations which enable incorporation of bone fusion material thereby facilitating stapling/fusion of spinal elements."
Inventor Retrieved,23,9801728,31/10/2017,Tools for implantation and extraction of artificial discs,"A hand manipulated endoscopic medical device includes a body having a proximal end, which is hand manipulated, a distal end which includes a manipulator, a light emitting device at the distal end, an imaging device at the distal end. A tool for extracting an artificial lumbar disc from between a pair of vertebral plates includes a handle, a member for transmitting force, and a sharpened end, specially configured to be placed between the artificial disc and the vertebral plate. A tool for implanting or explanting a ball to or from an artificial lumbar disc includes a pinion shaft and a pinion shaft enclosure, with a tightening knob at the proximal end of the shaft enclosure and coupled to the pinion shaft, a pinion at the distal end of the pinion shaft, a grappling device at the pinion, and a pair of semi-circular rings."
Inventor Retrieved,24,10149703,11/12/2018,Cervical spinous process staple,"Thoracic/lumbar and cervical spinous process staples which staple/fuse adjacent spinous processes are disclosed. Thoracic/lumbar transverse process staples which staple/fuse adjacent transverse processes are also disclosed. Each embodiment has upper and lower claws connected by a ratchet spring mechanism, along with a multiplicity of bone fastener prongs attached to the upper and lower claws. Two sets of prongs on each staple claw are spaced by a distance approximately equal to the distance separating adjacent spinous or transverse processes so as to facilitate stapling/fusion of two adjacent processes. Also disclosed are staple prongs with multiple perforations which enable incorporation of bone fusion material thereby facilitating stapling/fusion of spinal elements."
Inventor Retrieved,25,10098672,16/10/2018,Cervical spinous process staple,"Thoracic/lumbar and cervical spinous process staples which staple/fuse adjacent spinous processes are disclosed. Thoracic/lumbar transverse process staples which staple/fuse adjacent transverse processes are also disclosed. Each embodiment has upper and lower claws connected by a ratchet spring mechanism, along with a multiplicity of bone fastener prongs attached to the upper and lower claws. Two sets of prongs on each staple claw are spaced by a distance approximately equal to the distance separating adjacent spinous or transverse processes so as to facilitate stapling/fusion of two adjacent processes. Also disclosed are staple prongs with multiple perforations which enable incorporation of bone fusion material thereby facilitating stapling/fusion of spinal elements."
Inventor Retrieved,26,8251891,28/8/2012,Totally wireless electronically embedded action-ended endoscope utilizing differential directional illumination with digitally controlled mirrors and/or prisms,"A hand manipulated endoscopic medical device is disclosed. The medical device includes a body having a proximal end, which is hand manipulated, and a distal end which includes a manipulator. A light emitting device is centrally disposed at the distal end. An imaging device is centrally disposed at the distal end for imaging at least a portion of the region illuminated by the light emitting device. Also disclosed is a tool for extracting an artificial lumbar disc from between a pair of vertebral plates. The extraction tool includes a handle, a member for transmitting force, and a sharpened end, specially configured to be placed between the artificial disc and the vertebral plate. Further disclosed is a tool for implanting or explanting a ball to or from an artificial lumbar disc. The implanter/explanter includes a pinion shaft and a pinion shaft enclosure. A tightening knob is disposed at the proximal end of the shaft enclosure and coupled to the pinion shaft. A pinion is disposed at the distal end of the pinion shaft. A grappling device is disposed at the pinion, and it includes a pair of semi-circular rings. When the pinion is rotated, the semi-circular rings move relative to one another and are capable of grasping or releasing the ball."
Inventor Retrieved,27,10130493,20/11/2018,"Artificial total lumbar disc for unilateral safe and simple posterior placement in the lumbar spine, and removeable bifunctional screw which drives vertical sliding expansile plate expansion, and interplate widening, and angled traction spikes","A total artificial expansile disc and a method for posterior insertion between a pair of vertebral endplates are disclosed. The total artificial expansile disc includes at least one pair of substantially parallel plates that move apart along a first axis, in order to occupy a space defined by the vertebral endplates. In another embodiment, each of substantially parallel plates includes a first plate and a second sliding plate. An expansion device or tool is used to move the substantially parallel pair of plates apart along the first axis. A core is disposed between the pair of plates, and the core permits the vertebral endplates to move relative to one another. A ball limiter or ball extender prevents the core from being extruded from between the substantially parallel plates."
Inventor Retrieved,28,10695187,30/6/2020,Hand manipulated endoscopic medical device,"A hand manipulated endoscopic medical device is disclosed. The medical device includes a body having a proximal end, which is hand manipulated, and a distal end which includes a manipulator. A light emitting device is centrally disposed at the distal end. An imaging device is centrally disposed at the distal end for imaging at least a portion of the region illuminated by the light emitting device. Also disclosed is a tool for extracting an artificial lumbar disc from between a pair of vertebral plates. The extraction tool includes a handle, a member for transmitting force, and a sharpened end, specially configured to be placed between the artificial disc and the vertebral plate. Further disclosed is a tool for implanting or explanting a ball to or from an artificial lumbar disc. The implanter/explanter includes a pinion shaft and a pinion shaft enclosure. A tightening knob is disposed at the proximal end of the shaft enclosure and coupled to the pinion shaft. A pinion is disposed at the distal end of the pinion shaft. A grappling device is disposed at the pinion, and it includes a pair of semi-circular rings. When the pinion is rotated, the semi-circular rings move relative to one another and are capable of grasping or releasing the ball."
Inventor Retrieved,29,11135072,5/10/2021,Artificial disc system,"A total artificial expansile disc and a method for posterior insertion between a pair of vertebral endplates are disclosed. The total artificial expansile disc includes at least one pair of substantially parallel plates that move apart along a first axis, in order to occupy a space defined by the vertebral endplates. In another embodiment, each of substantially parallel plates includes a first plate and a second sliding plate. An expansion device or tool is used to move the substantially parallel pair of plates apart along the first axis. A core is disposed between the pair of plates, and the core permits the vertebral endplates to move relative to one another. A ball limiter or ball extender prevents the core from being extruded from between the substantially parallel plates."
Inventor Retrieved,30,8784450,22/7/2014,Interarticulating spinous and transverse process staples for spinal fusion,"Thoracic/lumbar and cervical spinous process staples which staple/fuse adjacent spinous processes are disclosed. Thoracic/lumbar transverse process staples which staple/fuse adjacent transverse processes are also disclosed. Each embodiment has upper and lower claws connected by a ratchet spring mechanism, along with a multiplicity of bone fastener prongs attached to the upper and lower claws. Two sets of prongs on each staple claw are spaced by a distance approximately equal to the distance separating adjacent spinous or transverse processes so as to facilitate stapling/fusion of two adjacent processes. Also disclosed are staple prongs with multiple perforations which enable incorporation of bone fusion material thereby facilitating stapling/fusion of spinal elements."
Inventor Retrieved,31,7854766,21/12/2010,"Artificial total lumbar disc for unilateral safe and simple posterior placement in the lumbar spine, and removable bifunctional screw which drives vertical sliding expansile plate expansion, and interplate widening, and angled traction spikes","A total artificial expansile disc and a method for posterior insertion between a pair of vertebral endplates are disclosed. The total artificial expansile disc includes at least one pair of substantially parallel plates that move apart along a first axis, in order to occupy a space defined by the vertebral endplates. In another embodiment, each of substantially parallel plates includes a first plate and a second sliding plate. An expansion device or tool is used to move the substantially parallel pair of plates apart along the first axis. A core is disposed between the pair of plates, and the core permits the vertebral endplates to move relative to one another. A ball limiter or ball extender prevents the core from being extruded from between the substantially parallel plates."
Inventor Retrieved,32,10123881,13/11/2018,Electronically controlled artificial intervertebral disc with motor assisted actuation systems,An electronically assisted artificial vertebral disc having an upper disc plate and a lower disc plate is disclosed. An actuator imparts movement to at least one of the upper and lower disc plates. A control device controls the actuator and the amount of movement between the disc plates. The actuator includes a plurality of either linear actuators or rotary actuators that are driven by electric motors in response to the control device. The control device includes at least a first sensor for detecting the position of the actuator and at least a second sensor for detecting the spatial orientation of at least one of the upper and lower disc plates. The control device also preferably includes a microprocessor that calculates the desired positions of the upper and lower disc plates and provides a control signal to the actuator to drive the upper and lower disc plates to their desired positions.
Inventor Retrieved,33,7083650,1/8/2006,"Artificial expansile total lumbar and thoracic discs for posterior placement without supplemental instrumentation and its adaptation for anterior placement of artificial cervical, thoracic and lumbar discs","A total artificial expansible disc having at least two pairs of substantially parallel shells, which move in multiple directions defined by at least two axes, is disclosed. Several methods for implanting the total artificial expansile disc are also disclosed. The total artificial expansile disc occupies a space defined by a pair of vertebral endplates. An expansion device, which preferably includes a jackscrew mechanism, moves the pairs of shells in multiple directions. A core is disposed between the pairs of shells, and the core permits the vertebral endplates to move relative to one another."
Inventor Retrieved,34,9492282,15/11/2016,Electronically controlled artificial intervertebral disc with motor assisted actuation systems,An electronically assisted artificial vertebral disc having an upper disc plate and a lower disc plate is disclosed. An actuator imparts movement to at least one of the upper and lower disc plates. A control device controls the actuator and the amount of movement between the disc plates. The actuator includes a plurality of either linear actuators or rotary actuators that are driven by electric motors in response to the control device. The control device includes at least a first sensor for detecting the position of the actuator and at least a second sensor for detecting the spatial orientation of at least one of the upper and lower disc plates. The control device also preferably includes a microprocessor that calculates the desired positions of the upper and lower disc plates and provides a control signal to the actuator to drive the upper and lower disc plates to their desired positions.
Inventor Retrieved,35,7854765,21/12/2010,Electronically controlled artificial intervertebral disc with motor assisted actuation systems,An electronically assisted artificial vertebral disc having an upper disc plate and a lower disc plate is disclosed. An actuator imparts movement to at least one of the upper and lower disc plates. A control device controls the actuator and the amount of movement between the disc plates. The actuator includes a plurality of either linear actuators or rotary actuators that are driven by electric motors in response to the control device. The control device includes at least a first sensor for detecting the position of the actuator and at least a second sensor for detecting the spatial orientation of at least one of the upper and lower disc plates. The control device also preferably includes a microprocessor that calculates the desired positions of the upper and lower disc plates and provides a control signal to the actuator to drive the upper and lower disc plates to their desired positions.
Inventor Retrieved,36,11116642,14/9/2021,Total artificial spino-laminar prosthetic replacement,"A total artificial spinous process (spino)-laminar prosthesis (TASP-LP) including a body having a portion forming a spinous process extending away from the body, a first lamina portion extending from a first side of the body, and a second lamina portion extending from a second side of the body, wherein the first lamina portion and the second lamina portion are disposed on opposite sides of the spinous process."
